Designator,Mid X,Mid Y,Rotation,Layer
SW1,120.497916,-48.087656,0.0,top
SW10,177.597916,-64.687656,0.0,top
SW11,196.697916,-69.387656,0.0,top
SW12,215.697916,-70.887656,0.0,top
SW13,120.497916,-86.187656,0.0,top
SW14,139.497916,-83.787656,0.0,top
SW15,158.597916,-82.487656,0.0,top
SW16,177.597916,-83.787656,0.0,top
SW17,196.697916,-88.587656,0.0,top
SW18,215.697916,-90.087656,0.0,top
SW19,120.497916,-105.187656,0.0,top
SW2,139.497916,-45.687656,0.0,top
SW20,139.497916,-102.887656,0.0,top
SW21,158.597916,-101.487656,0.0,top
SW22,177.597916,-102.887656,0.0,top
SW23,196.697916,-107.587656,0.0,top
SW24,215.747916,-109.087656,0.0,top
SW25,100.868833,-117.284213,30.0,top
SW26,110.368833,-133.738695,30.0,top
SW27,129.997916,-124.087656,0.0,top
SW28,148.997916,-121.837656,0.0,top
SW29,168.097916,-121.837656,0.0,top
SW3,158.597916,-44.297656,0.0,top
SW4,177.597916,-45.687656,0.0,top
SW5,196.697916,-50.487656,0.0,top
SW6,215.697916,-51.987656,0.0,top
SW7,120.497916,-67.187656,0.0,top
SW8,139.497916,-64.787656,0.0,top
SW9,158.597916,-63.387656,0.0,top
TH3,129.597916,-57.687656,0.0,top
TH4,205.797916,-59.887656,0.0,top
TH5,129.597916,-95.687656,0.0,top
TH6,205.797916,-98.087656,0.0,top
TH7,94.640916,-106.291656,90.0,top
